date,sku,manufacturer,name,salesRankShortTerm,salesRankMediumTerm,salesRankLongTerm,bestSellingRank,customerReviewAverage,customerReviewCount,image,url
2017_09_08,5754303,Samsung,"Samsung - 55"" Class (54.6"" Diag.) - LED Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",1693.0,1278,1312,1334,4.7,163,https://img.bbystatic.com/BestBuy_US/images/products/5754/5754303_sa.jpg,https://api.bestbuy.com/click/-/5754303/pdp
2017_09_08,5773704,Samsung,"Samsung - 55"" Class (54.6"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV",2116.0,1551,1586,1608,4.7,203,https://img.bbystatic.com/BestBuy_US/images/products/5773/5773704_sa.jpg,https://api.bestbuy.com/click/-/5773704/pdp
2017_09_08,5773708,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",2295.0,1520,1436,1503,4.7,216,https://img.bbystatic.com/BestBuy_US/images/products/5773/5773708_sa.jpg,https://api.bestbuy.com/click/-/5773708/pdp
2017_09_08,5773847,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV",2723.0,2409,2909,2748,4.7,123,https://img.bbystatic.com/BestBuy_US/images/products/5773/5773847_sa.jpg,https://api.bestbuy.com/click/-/5773847/pdp
2017_09_08,5773804,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",6850.0,3381,3015,3277,4.9,68,https://img.bbystatic.com/BestBuy_US/images/products/5773/5773804_sa.jpg,https://api.bestbuy.com/click/-/5773804/pdp
2017_09_08,5758120,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",8799.0,6845,7099,7159,4.9,35,https://img.bbystatic.com/BestBuy_US/images/products/5758/5758120_sa.jpg,https://api.bestbuy.com/click/-/5758120/pdp
2017_09_08,5758118,Samsung,"Samsung - 55"" Class (54.6"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",9678.0,8038,7879,8069,4.8,24,https://img.bbystatic.com/BestBuy_US/images/products/5758/5758118_sa.jpg,https://api.bestbuy.com/click/-/5758118/pdp
2017_09_08,5758300,Samsung,"Samsung - 75"" Class (74.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",12478.0,11898,11453,11678,4.2,13,https://img.bbystatic.com/BestBuy_US/images/products/5758/5758300_sa.jpg,https://api.bestbuy.com/click/-/5758300/pdp
2017_09_08,5786407,Samsung,"Samsung - 55"" Class (54.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",22588.0,18662,18190,18438,4.7,7,https://img.bbystatic.com/BestBuy_US/images/products/5786/5786407_sa.jpg,https://api.bestbuy.com/click/-/5786407/pdp
2017_09_08,5786402,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",,17025,18626,18593,4.6,10,https://img.bbystatic.com/BestBuy_US/images/products/5786/5786402_sa.jpg,https://api.bestbuy.com/click/-/5786402/pdp
2017_09_08,5034500,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV - with High Dynamic Range",,19778,29027,25364,4.8,523,https://img.bbystatic.com/BestBuy_US/images/products/5034/5034500_sa.jpg,https://api.bestbuy.com/click/-/5034500/pdp
2017_09_08,5336000,Samsung,"Samsung - 88"" Class (88"" Diag.) - Curved -  2160p - Smart - 4K Ultra HD TV with High Dynamic Range",,33261,48438,42101,5.0,1,https://img.bbystatic.com/BestBuy_US/images/products/5336/5336000_sa.jpg,https://api.bestbuy.com/click/-/5336000/pdp
